"Hotel Name","City","Country","Original URL","Canonical URL","Status"
"The Pfister Hotel","Milwaukee","United States","https://www.booking.com/hotel/us/the-pfister.html","https://www.booking.com/hotel/us/the-pfister.html","Already canonical"
"The Phoenix Hotel Yogyakarta – Handwritten Collection","Yogyakarta","Indonesia","https://www.booking.com/searchresults.html?ss=Phoenix%20Hotel%20Yogyakarta%20Handwritten%20Collection%20Indonesia","https://www.booking.com/hotel/id/the-phoenix-yogyakarta-a-member-of-the-mgallery-collection.en-gb.html","Updated"
"Pleiada Boutique Hotel & Spa","Iași","Romania","https://www.booking.com/searchresults.html?ss=Pleiada%20Boutique%20Hotel%20Spa%20Iasi%20Romania","https://www.booking.com/hotel/ro/pleiada-boutique-hotel-and-spa.en-gb.html","Updated"
"The Raweekanlaya Bangkok Wellness Cuisine Resort","Bangkok","Thailand","https://www.booking.com/searchresults.html?ss=Raweekanlaya%20Bangkok%20Wellness%20Cuisine%20Resort%20Thailand","https://www.booking.com/hotel/th/raweekanlaya.en-gb.html","Updated"
"Real Marina Hotel & Spa","Olhão","Portugal","https://www.booking.com/searchresults.html?ss=Real%20Marina%20Hotel%20Spa%20Olhao%20Portugal","https://www.booking.com/hotel/pt/real-marina-spa.en-gb.html","Updated"
"Hotel & Spa Regent Petite France","Strasbourg","France","https://www.booking.com/searchresults.html?ss=Hotel%20%26%20Spa%20Regent%20Petite%20France%20Strasbourg","https://www.booking.com/hotel/fr/regentpetitefrance.en-gb.html","Updated"
"Relais Antica Badia - San Maurizio 1619","Ragusa","Italy","https://www.booking.com/searchresults.html?ss=Relais%20Antica%20Badia%20San%20Maurizio%201619%20Ragusa","https://www.booking.com/hotel/it/antica-badia-relais.en-gb.html","Updated"
"The Royal Surakarta Heritage – Handwritten Collection","Solo","Indonesia","https://www.booking.com/searchresults.html?ss=Royal%20Surakarta%20Heritage%20Solo%20Indonesia%20Handwritten","https://www.booking.com/hotel/id/the-royal-surakarta-heritage.en-gb.html","Updated"
"Silk Path Grand Hue Hotel & Spa","Hue","Vietnam","https://www.booking.com/searchresults.html?ss=Silk%20Path%20Grand%20Hue%20Hotel%20Spa%20Vietnam","https://www.booking.com/hotel/vn/green-hue-hue.en-gb.html","Updated"
"Sofitel Marrakech Palais Imperial & Spa","Marrakech","Morocco","https://www.booking.com/searchresults.html?ss=Sofitel%20Marrakech%20Palais%20Imperial%20Spa%20Morocco","https://www.booking.com/hotel/ma/sofitel-marrakech.en-gb.html","Updated"
"Stamba Hotel","Tbilisi","Georgia","https://www.booking.com/searchresults.html?ss=Stamba%20Hotel%20Tbilisi%20Georgia","https://www.booking.com/hotel/ge/stamba-tbilisi.en-gb.html","Updated"
"Steigenberger Icon Grandhotel Handelshof Leipzig","Leipzig","Germany","https://www.booking.com/searchresults.html?ss=Steigenberger%20Icon%20Grandhotel%20Handelshof%20Leipzig%20Germany","https://www.booking.com/hotel/de/steigenberger-grandhotel-handelshof-leipzig.en-gb.html","Updated"
"Steigenberger Resort Achti Luxor","Luxor","Egypt","https://www.booking.com/searchresults.html?ss=Steigenberger%20Resort%20Achti%20Luxor%20Egypt","https://www.booking.com/hotel/eg/sheraton-luxor-resort.en-gb.html","Updated"
"Sublime Samana Hotel & Residences","Las Terrenas","Dominican Republic","https://www.booking.com/searchresults.html?ss=Sublime%20Samana%20Las%20Terrenas","https://www.booking.com/hotel/do/sublime-samana.en-gb.html","Updated"
"The Grand, York","York","England","https://www.booking.com/searchresults.html?ss=The%20Grand%20York%20England","https://www.booking.com/hotel/gb/cedar-court-grand.en-gb.html","Updated"
"The Nines, a Luxury Collection Hotel","Portland","United States","https://www.booking.com/hotel/us/the-nines.html","https://www.booking.com/hotel/us/the-nines.html","Already canonical"
"The Venetian Resort","Las Vegas","United States","https://www.booking.com/hotel/us/the-venetian-resort.html","https://www.booking.com/hotel/us/the-venetian-resort.html","Already canonical"
